id,movie_name,year,directors,actors,rate,star,src,cover,douban_id
0,利刃出鞘,2019,莱恩·约翰逊,丹尼尔·克雷格/安娜·德·阿玛斯/克里斯·埃文斯/杰米·李·柯蒂斯/托妮·科莱特,8.3,40,https://movie.douban.com/subject/30318116/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2574172427.jpg,30318116
1,冰雪奇缘2,2019,克里斯·巴克/珍妮弗·李,克里斯汀·贝尔/伊迪娜·门泽尔/乔什·加德/乔纳森·格罗夫/杰森·雷特,7.3,35,https://movie.douban.com/subject/25887288/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2572847101.jpg,25887288
2,少年的你,2019,曾国祥,周冬雨/易烊千玺/尹昉/周也/吴越,8.4,40,https://movie.douban.com/subject/30166972/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2572166063.jpg,30166972
3,小丑,2019,托德·菲利普斯,杰昆·菲尼克斯/罗伯特·德尼罗/马克·马龙/莎姬·贝兹/谢伊·惠格姆,8.8,45,https://movie.douban.com/subject/27119724/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2567198874.jpg,27119724
4,哪吒之魔童降世,2019,饺子,吕艳婷/囧森瑟夫/瀚墨/陈浩/绿绮,8.5,45,https://movie.douban.com/subject/26794435/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2563780504.jpg,26794435
5,流浪地球,2019,郭帆,屈楚萧/吴京/李光洁/吴孟达/赵今麦,7.9,40,https://movie.douban.com/subject/26266893/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2545472803.jpg,26266893
6,两只老虎,2019,李非,葛优/赵薇/乔杉/范伟/闫妮,6.2,30,https://movie.douban.com/subject/30196805/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2574713609.jpg,30196805
7,攀登者,2019,李仁港,吴京/章子怡/井柏然/张译/胡歌,6.2,30,https://movie.douban.com/subject/30413052/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2568577681.jpg,30413052
8,好莱坞往事,2019,昆汀·塔伦蒂诺,莱昂纳多·迪卡普里奥/布拉德·皮特/玛格特·罗比/埃米尔·赫斯基/玛格丽特·库里,7.4,35,https://movie.douban.com/subject/27087724/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2551119672.jpg,27087724
9,复仇者联盟4：终局之战,2019,安东尼·罗素/乔·罗素,小罗伯特·唐尼/克里斯·埃文斯/马克·鲁弗洛/克里斯·海姆斯沃斯/斯嘉丽·约翰逊,8.5,45,https://movie.douban.com/subject/26100958/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2552058346.jpg,26100958
