id,movie_name,year,directors,actors,rate,star,src,cover,douban_id
55,半条棉被,2019,孟奇,,,0,https://movie.douban.com/subject/33441927/,https://img3.doubanio.com/f/movie/30c6263b6db26d055cbbe73fe653e29014142ea3/pics/movie/movie_default_large.png,33441927
56,鞋面,2019,小中和哉,中丸紫苑/高桥真悠/田中真琴/俊藤光利/加藤厚成,,0,https://movie.douban.com/subject/30476409/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2572877367.webp,30476409
57,Bournemouth vs Manchester United,2019,,杰弗森·莱尔马,,0,https://movie.douban.com/subject/34889461/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2575635459.webp,34889461
58,Carabao Cup - 4th Rnd Chelsea vs Manchester United,2019,,克里斯蒂安·普利西奇,,0,https://movie.douban.com/subject/34889598/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2574893924.webp,34889598
59,那个瞬间，我很想哭,2019,三池崇史/行定勋/松永大司,黑泽良平/小林直己/今市隆二/佐野玲於/佐藤大树,,0,https://movie.douban.com/subject/34834928/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2572857980.webp,34834928
60,圣诞电影,2019,Brian Herzlinger,布兰特·道格尔迪/拉娜·麦基萨克/瑞恩·莫里曼/兰迪·韦恩,,0,https://movie.douban.com/subject/34883000/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2573604578.webp,34883000
61,如果我是有钱人,2019,奥瓦罗·阿梅罗,亚历山德拉·希门内斯/宝拉·艾切瓦莉亚/阿德里安·拉斯特拉/阿莱克斯·加西亚/安东尼奥·雷西内斯,,0,https://movie.douban.com/subject/33407591/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2566549277.webp,33407591
62,108～海馬五郎の復讐と冒険～,2019,松尾铃木,松尾铃木/中山美穗,,0,https://movie.douban.com/subject/30372323/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2566595178.webp,30372323
63,Partizan Belgrade vs Manchester United,2019,,萨沃·米洛舍维奇,,0,https://movie.douban.com/subject/34882952/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2575635605.webp,34882952
64,Manchester United vs Liverpool FC,2019,,亚当·拉拉纳,,0,https://movie.douban.com/subject/34889574/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2574307330.webp,34889574
65,请告诉我去车站的路,2019,桥本直树,新津知世/有村架纯/坂井真纪/泷藤贤一/羽田美智子,,0,https://movie.douban.com/subject/27008397/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2562875520.webp,27008397
66,邪恶土地女孩,2019,乔可·安华,塔拉·巴斯罗/Ario Bayu/克里斯汀·哈金,,0,https://movie.douban.com/subject/34800706/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2566713125.webp,34800706
67,负债甜心,2019,王禹,周孝安/陈熙文,,0,https://movie.douban.com/subject/34856110/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2571504817.webp,34856110
68,棒球少女,2019,崔俊泰,李珠英/李俊赫/廉惠兰,,0,https://movie.douban.com/subject/33404216/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2568536997.webp,33404216
69,纸花,2019,高勋,金喜善/安圣基/金彗星/张在熙/柳真,,0,https://movie.douban.com/subject/30414748/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2568533216.webp,30414748
70,开心点！,2019,本图拉·庞斯,Siân Phillips/Karme Málaga/Usha Jadhav/Vicky Peña/Gary Wilmot,,0,https://movie.douban.com/subject/34848632/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2570367346.webp,34848632
71,Premier League Manchester United vs Arsenal,2019,,格拉尼特·扎卡,,0,https://movie.douban.com/subject/34889563/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2575635073.webp,34889563
72,Premier League West Ham United vs Manchester United,2019,,巴勃罗·萨巴莱塔,,0,https://movie.douban.com/subject/34889544/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2574441222.webp,34889544
73,Manchester United vs Leicester City,2019,,,,0,https://movie.douban.com/subject/34825538/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2572506248.webp,34825538
74,Entwined,2019,Minos Nikolakakis,普罗米修斯·阿利费尔/Manos Vakousis,,0,https://movie.douban.com/subject/34889776/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2574261358.webp,34889776
75,虚无之境,2019,江子,杜天皓/马梦乔/陈国良/田理/费璇,,0,https://movie.douban.com/subject/27605494/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2550659681.webp,27605494
76,Southampton vs Manchester United,2019,,丹尼尔·英格斯,,0,https://movie.douban.com/subject/34816748/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2575635256.webp,34816748
77,Manchester United vs Crystal Palace,2019,,罗伊·霍奇森,,0,https://movie.douban.com/subject/34807099/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2575635516.webp,34807099
78,艾利克斯游仙境,2019,,Alexander Babu,,0,https://movie.douban.com/subject/34863245/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2571785229.webp,34863245
79,Wolverhampton Wanderers vs Manchester United,2019,,,,0,https://movie.douban.com/subject/34805979/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2575624748.webp,34805979
80,先见之明,2019,詹姆斯·海辛,迈克·C·曼宁/凡妮莎·瓦斯克斯/琳达·格蕾/埃里克·罗伯茨/卡洛斯·普拉斯,,0,https://movie.douban.com/subject/34841390/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2571647345.webp,34841390
81,遥远的牧驼人,2019,奇松布尔,乌目格希勒图/那日苏/苏龙高娃/伊丹娜,,0,https://movie.douban.com/subject/33218218/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2551351937.webp,33218218
82,洪水,2019,Anthony Woodley,琳娜·海蒂/伊恩·格雷/阿舍尔·阿里/曼迪·吉尔/伊万诺·杰里迈亚,,0,https://movie.douban.com/subject/27002691/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2510825466.webp,27002691
83,曼谷暗黑传说,2019,Thanvimol Onpapliw/Alwa Ritsila/Anusorn Soisa-Ngim/ธาลวิมล อ่อนพาปลิว,娜塔扎瑞·抔勒威查固,,0,https://movie.douban.com/subject/33415800/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2557990363.webp,33415800
84,结和橘子,2019,Ivan Pokorný,Petra Buckova,,0,https://movie.douban.com/subject/33391997/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2560311099.webp,33391997
85,第26届北京大学生电影节颁奖典礼,2019,,文牧野/徐峥/姚晨/章宇/佟丽娅,,0,https://movie.douban.com/subject/34800585/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2566313074.webp,34800585
86,Manchester United vs Chelsea,2019,,毛里西奥·萨里,,0,https://movie.douban.com/subject/34797246/,https://img3.doubanio.com/f/movie/30c6263b6db26d055cbbe73fe653e29014142ea3/pics/movie/movie_default_large.png,34797246
87,兔头男：刑房版,2019,Carl Lindbergh,,,0,https://movie.douban.com/subject/34823067/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2568830738.webp,34823067
88,Circus Noël,2019,Dennis Bots,泰格·格南德特,,0,https://movie.douban.com/subject/34875684/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2572949241.webp,34875684
89,初恋50次,2019,Maurício do Valle,西梅娜·罗莫/瓦迪尔·德尔贝斯/亚历杭德罗·卡马乔/Iliana Fox/Marien Zagarella,,0,https://movie.douban.com/subject/27198764/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2567936942.webp,27198764
90,Manchester United vs Watford,2019,,马库斯·拉什福德,,0,https://movie.douban.com/subject/34797077/,https://img3.doubanio.com/f/movie/30c6263b6db26d055cbbe73fe653e29014142ea3/pics/movie/movie_default_large.png,34797077
91,猜不透的心,2019,Shagufta Rafique,亚什·达斯古普多/米米·查克拉博蒂,,0,https://movie.douban.com/subject/34825567/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2568832164.webp,34825567
92,That Pärt Feeling - The Universe of Arvo Pärt,2019,Paul Hegeman,Arvo Pärt,,0,https://movie.douban.com/subject/34865475/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2572069076.webp,34865475
93,Kano Vision,2019,Bill Cate,,,0,https://movie.douban.com/subject/34905605/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2575769522.webp,34905605
94,封神传奇,2019,赵军,李立群/林志颖/石班瑜,,0,https://movie.douban.com/subject/34902582/,https://img3.doubanio.com/f/movie/30c6263b6db26d055cbbe73fe653e29014142ea3/pics/movie/movie_default_large.png,34902582
95,漂流者,2019,Ben Bond,Lucie Bourdeu/Jonathan Ajayi/Tia Bannon,,0,https://movie.douban.com/subject/34899523/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2575130976.webp,34899523
96,标签,2019,Ben Alpi,琪琪·艾德莉/埃林·亚金/茱丽叶·兰道,,0,https://movie.douban.com/subject/34899367/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2575130035.webp,34899367
97,Raf,2019,María Paz González,格雷丝·格洛威克,,0,https://movie.douban.com/subject/34889800/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2574261435.webp,34889800
98,The Nose Speed Record,2019,,Tommy Caldwell/Alex Honnold/Brad Gobright/Jim Reynolds,,0,https://movie.douban.com/subject/34879996/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2573383421.webp,34879996
99,United States of Joe’s,2019,,,,0,https://movie.douban.com/subject/34879994/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2573383414.webp,34879994
